Test Number, WriteEnable, Reset, WriteReg, WriteData, ReadRegA, ReadRegB,DataRegA, DataRegB, ExpReadDataA, ExpReadDataB
1,1,0, 0,          1, 0, 0,          1,          1,          0,          0
33,0,0, 0,         -1, 0,16,         -1,-2147483648,          0,      65536
34,0,0,17,         -1, 1,17,-2147483648,         -1,          2,     131072
35,0,0,18,         -1, 2,18,-2147483648,         -1,          4,     262144
36,0,0,19,         -1, 3,19,-2147483648,         -1,          8,     524288
37,0,0,20,         -1, 4,20,-2147483648,         -1,         16,    1048576
38,0,0,21,         -1, 5,21,-2147483648,         -1,         32,    2097152
39,0,0, 6,         -1, 6,22,         -1,-2147483648,         64,    4194304
40,0,0, 7,         -1, 7,23,         -1,-2147483648,        128,    8388608
41,0,0,24,         -1, 8,24,-2147483648,         -1,        256,   16777216
42,0,0,25,         -1, 9,25,-2147483648,         -1,        512,   33554432
43,0,0,10,         -1,10,26,         -1,-2147483648,       1024,   67108864
44,0,0,27,         -1,11,27,-2147483648,         -1,       2048,  134217728
45,0,0,12,         -1,12,28,         -1,-2147483648,       4096,  268435456
46,0,0,13,         -1,13,29,         -1,-2147483648,       8192,  536870912
47,0,0,14,         -1,14,30,         -1,-2147483648,      16384, 1073741824
48,0,0,31,         -1,15,31,-2147483648,         -1,      32768,-2147483648
50,0,0, 1,         -1, 1,17,         -1,          0,          0,          0
51,0,0,18,         -1, 2,18,          0,         -1,          0,          0
52,0,0,19,         -1, 3,19,          0,         -1,          0,          0
53,0,0, 4,         -1, 4,20,         -1,          0,          0,          0
54,0,0, 5,         -1, 5,21,         -1,          0,          0,          0
55,0,0, 6,         -1, 6,22,         -1,          0,          0,          0
56,0,0, 7,         -1, 7,23,         -1,          0,          0,          0
57,0,0, 8,         -1, 8,24,         -1,          0,          0,          0
58,0,0, 9,         -1, 9,25,         -1,          0,          0,          0
59,0,0,10,         -1,10,26,         -1,          0,          0,          0
60,0,0,27,         -1,11,27,          0,         -1,          0,          0
61,0,0,12,         -1,12,28,         -1,          0,          0,          0
62,0,0,29,         -1,13,29,          0,         -1,          0,          0
63,0,0,14,         -1,14,30,         -1,          0,          0,          0
64,0,0,15,         -1,15,31,         -1,          0,          0,          0
